"distid","year","totpop","toptotvotes","topdem","toprep","sectot","secdem","secrep","topturnout","topdemshare","toprepshare","secdemshare","secrepshare"
147,"2002",29339.6662565214,12737.1636059649,5498.71675762701,5941.61562489924,12457.9478371276,3027.53157301647,8959.1346863802,0.434127760506947,0.431706534337985,0.466478708188749,0.243020087465266,0.719150120349667
147,"2004",28893.6170197279,21195.3911541683,9917.64745502731,11154.5000122801,20457.2195638162,7094.66911045773,13346.8164016857,0.733566556921433,0.46791528322783,0.526270071221895,0.346805150539933,0.652425729706348
147,"2006",29342.2743485087,17219.9670395157,8920.85565583357,7925.24721893068,17015.9269484974,9592.43735070664,7290.90024772563,0.586865449998454,0.518053004129587,0.460235911064415,0.563732870959094,0.428475055740027
147,"2008",28899.6604087271,21342.6660917839,12094.3496995833,8859.55152103609,0,12254.410654129,8642.40569113306,0.738509234708475,0.566674737240968,0.415109878163098,0,0
147,"2010",28789.6589467785,1343.97436262591,597.538360141545,739.030109968523,1355.39262797917,616.399945120907,738.28084849627,0.0466825385153199,0.444605475192288,0.549884083000346,0.454775931635347,0.544698881531483
147,"2012",28679.6574848299,22084.8054484767,11470.5165765058,10147.0242947022,18036.0839532328,7810.60737431242,10101.9196224767,0.770051227430401,0.519384995410812,0.45945726433384,0.433054503104174,0.560094954573885
154,"2002",1137.00924046678,442.58322619739,199.244855529105,149.053293349864,434.165194128725,331.343798959437,89.3788023279751,0.389252092635319,0.450186188123278,0.336780258552744,0.763174486209958,0.205863582656226
154,"2004",1137.76464521734,702.17227301637,400.753946978958,300.549524638938,690.581711890399,450.581496240706,240.000215649693,0.617150722663067,0.570734508295823,0.428028186513043,0.652466592269412,0.347533407730588
154,"2006",1205.71056415417,444.166958345629,242.455578572285,189.921920717419,444.451206004525,312.808552767442,131.6182941193,0.368386055120301,0.545865859710389,0.427591285549049,0.70380853632841,0.296136656490386
154,"2008",1207.47953563079,675.396222749591,418.342426285022,251.344744713195,0,460.016308555408,179.059771409255,0.559343825563689,0.619402969980966,0.372144137392345,0,0
154,"2010",1225.09710942179,465.108151444885,200.461026956381,263.752789908053,485.995605816847,247.771701612437,219.811721002308,0.379650027632833,0.430998739397788,0.567078407653554,0.509822925653801,0.452291581181799
154,"2012",1242.71468321279,694.527905881522,373.164036635716,312.586559190574,566.801692504093,168.816485397366,392.479166398561,0.55887961674836,0.537291638644933,0.450070553743736,0.297840475125516,0.692445297163128
161,"2002",443.497082628301,183.428783332201,83.1703312135373,63.5782223634924,169.196472263338,96.6947598069475,70.449400557271,0.413596369665265,0.453420284988264,0.346609846113127,0.571493947323272,0.416376296827414
161,"2004",446.563444072106,316.105181345577,176.169120761058,139.663131806491,301.895459959618,144.559942186883,156.941279826752,0.70786175075839,0.557311715078987,0.441824873644848,0.478841060432707,0.519853063864375
161,"2006",443.501403970528,232.219630185715,134.131150445924,93.1610265938679,224.291993812532,141.137469446784,82.8258091285986,0.523605174880454,0.577604702662968,0.401176362736274,0.629257723593781,0.369276708101432
161,"2008",442.341405554718,307.470490758006,188.861658068578,113.8938476323,0,180.106428319066,104.836978912625,0.695097693539276,0.614243199739193,0.370422043922062,0,0
161,"2010",442.052486286323,216.310009715954,109.650041968152,106.301316218819,218.232066963104,113.372318926458,101.20279924826,0.489331055534088,0.506911548439843,0.491430407489732,0.519503483168792,0.46373936083999
161,"2012",441.763567017927,322.267766271086,192.514835883789,125.815906371399,286.890268919584,122.486686710612,162.001568982467,0.729502816283643,0.597375400311829,0.39040797603557,0.426946118360485,0.564681296415379
170,"2002",4437.16465359509,1724.99965500004,1105.29020588806,492.47056005328,1671.65048337633,1297.36752638179,374.282956994541,0.388761695737932,0.640748073591954,0.285490236839072,0.776099752480208,0.223900247519792
170,"2004",4343.12334429201,1210.96660942815,740.553391809857,466.490564519738,825.12860167003,779.150459622123,0,0.278823904695148,0.611539068083443,0.38522165754845,0.944277604782031,0
170,"2006",4304.87314561709,2067.38235127991,1424.45619489091,583.54546098759,2052.68008431016,1497.63805377658,472.362038282605,0.480242339634274,0.689014392528327,0.282262959547042,0.729601297944042,0.230119657657882
170,"2008",4406.22783788162,2866.62007041,2029.08343868387,797.206475231292,0,2071.67693892772,662.525219285807,0.650583713752801,0.707831309641831,0.27809980243293,0,0
170,"2010",4398.49363395325,345.42873603017,179.969456864804,163.881641819977,351.729927688618,158.593454446943,187.639731032906,0.0785334172962547,0.521003142162107,0.474429671669422,0.45089553649624,0.533476728198746
170,"2012",4390.75943002488,2651.87734192188,1779.67608366662,821.940251313195,2118.29963539801,1389.73408721819,709.540447221644,0.603967806522903,0.671100452322146,0.309946556848484,0.656061146400126,0.334957545837621
182,"2002",13175,5569,2307,2599,5498,1166,4177,0.4226944971537,0.414257496857605,0.466690608726881,0.212077118952346,0.759730811204074
182,"2004",13175,9414,4020,5365,9249,2454,6788,0.714535104364326,0.427023581899299,0.569895899723816,0.265325981187155,0.733917180235701
182,"2006",13175,7077,3268,3701,7024,3403,3599,0.537153700189753,0.461777589374029,0.522961706937968,0.484481776765376,0.512386104783599
182,"2008",13175,9181,4805,4265,0,4751,4291,0.69685009487666,0.523363468031805,0.464546345713975,0,0
182,"2010",13175,783,368,414,784,377,407,0.0594307400379507,0.469987228607918,0.528735632183908,0.480867346938776,0.519132653061224
182,"2012",13175,9522,4495,4900,7830,3024,4757,0.722732447817837,0.472064692291535,0.51459777357698,0.386206896551724,0.607535121328225
196,"2002",601.684694132647,266.49365649653,117.762261003429,89.1441772962909,266.18273245489,159.892600660614,106.290131794276,0.442912474083609,0.441895175110715,0.334507689482101,0.600687351827794,0.399312648172206
196,"2004",600.036822221272,408.38846563039,180.036200147385,226.407327210088,350.208566728646,272.690437764966,0,0.680605673696124,0.440845457937898,0.554392070943052,0.778651534176362,0
196,"2006",603.41787696911,303.923390055694,158.416308825599,135.842976799272,303.380902902921,180.754672649592,112.583783810614,0.5036698474733,0.521237634249108,0.446964535287588,0.595801090048941,0.371097134768037
196,"2008",598.880088966255,401.571909787084,216.804786743431,177.014912253514,0,210.106626708781,184.329712582875,0.67053808798394,0.539890319664994,0.440805016335351,0,0
196,"2010",598.178937674657,309.175669760824,116.714160940358,191.869159732184,316.393518283762,119.411505889478,182.845353042357,0.516861511310821,0.377501117829379,0.620582984038208,0.377414513853544,0.57790486364632
196,"2012",597.477786383059,399.528543033509,163.911032420134,232.287384344287,354.160170808287,87.3852222127656,264.760643845958,0.668691877989521,0.410261132222501,0.581403727955437,0.246739270577291,0.747573176401244
203,"2002",585.406956221077,292.643643908798,118.394778268048,92.2274702963281,289.372732022145,183.944302430491,105.428429591654,0.499897790415532,0.404569792416011,0.315152822266902,0.63566563837955,0.36433436162045
203,"2004",591.86944501432,418.614740458833,192.985288174316,223.418399709847,357.491802751985,287.5086973071,0,0.707275470942254,0.461009299296986,0.533708869078437,0.804238573007403,0
203,"2006",587.552678195531,306.877438258316,158.021591921341,141.05014145981,307.544478448127,189.425860431457,108.968957938366,0.522297743924486,0.514933886369076,0.459630210224448,0.61592996690203,0.354319344272493
203,"2008",591.415691175187,435.210415310404,240.003519344615,186.233381856307,0,244.961185324465,182.75232271431,0.73587904718187,0.55146547716106,0.427915728357467,0,0
203,"2010",592.917874913715,312.239780866732,122.881786212434,188.012976645014,319.995760890993,137.69695000797,169.992456126451,0.526615563600897,0.393549424968632,0.60214293042071,0.430308669166642,0.5312334627594
203,"2012",594.420058652242,430.070311630758,180.668119396536,243.090353712436,372.4379079718,118.16947449285,252.472526358304,0.723512447756014,0.4200897260531,0.565233979510645,0.317286377040324,0.677891592005776
217,"2002",965.89512518632,372.94508220593,155.761760261927,140.599183006229,370.446093791199,246.758803507202,107.060583141028,0.386113432484701,0.4176533427941,0.376997015685528,0.666112580596643,0.289004486578209
217,"2004",966.093674025297,584.8675328818,269.155821027942,309.254142450647,579.377033398901,346.520419422248,232.156908640371,0.605394226881652,0.460199627942655,0.52875929174401,0.598091397219172,0.400700917118561
217,"2006",971.72538826969,404.056352523344,211.959365580551,180.513621276479,400.807473231356,252.978868855217,147.372225937485,0.415813312486185,0.524578723380684,0.446753578180782,0.631173033815144,0.367688318656718
217,"2008",979.592365208898,564.126409737883,294.561660809116,260.463753696044,0,327.827768094677,209.190662487099,0.575878732596679,0.522155417162586,0.461711682346278,0,0
217,"2010",983.016675214542,380.552989108584,151.677127162781,226.132617867897,387.551941729372,181.473002920168,190.104499710165,0.387127704650106,0.398570321358066,0.59422110544341,0.468254660550485,0.490526505587516
217,"2012",986.440985220187,558.157610921852,268.722054900679,281.202644107346,466.967383552313,177.669194018716,287.131339825052,0.565829704244561,0.481444756180711,0.503805087675705,0.38047452622312,0.614885214553503
231,"2002",1165.29264554103,549.211714275574,249.489255738588,264.550154999402,541.168286187768,297.83291600444,231.979754841241,0.471307972617113,0.454267906626266,0.48169066340537,0.550351754908826,0.428664725487538
231,"2004",1197.95728890601,1010.68312103362,469.165309893754,536.515559020362,986.50564998335,527.933002464105,458.372850067817,0.843672082797367,0.464206139520704,0.530844483156768,0.535154565483751,0.464642904047791
231,"2006",1246.03835990499,721.621680906063,367.233852463602,344.927805868642,717.925176278898,385.438495598624,332.486680680274,0.579132797292925,0.508900802429474,0.477989804069569,0.536878366066508,0.463121633933492
231,"2008",1231.56256381995,1127.35278890488,541.789488439231,562.333573210661,0,626.555065930111,431.68465173434,0.915384099861044,0.480585575137957,0.498808872204873,0,0
231,"2010",1248.13004338967,668.482991589556,240.839916469235,424.56782833145,681.673492146213,260.990647524252,397.227068862838,0.535587613750638,0.36027830101788,0.63512136235791,0.382867531936055,0.582723361608487
231,"2012",1264.6975229594,1092.49507629479,480.984226972396,591.480647012513,814.478674861336,306.727576470413,503.03241015454,0.863839025902686,0.440262146172465,0.541403489907273,0.376593747555923,0.61761274503618
238,"2002",822.439964526236,386.422637910243,186.003238178572,175.362587285385,378.719789389641,242.187197281621,136.53259210802,0.469849052304797,0.481346639483829,0.453810336355392,0.639489152842896,0.360510847157105
238,"2004",825.334882378713,629.108986700835,320.249945673021,303.85867801719,409.897253618964,361.244211961833,0,0.762246937737163,0.509053204521003,0.482998469964134,0.881304299485845,0
238,"2006",825.902428996519,437.572512595466,237.483091397492,185.908934951569,426.510423323673,249.435305658249,153.836409088148,0.52981138840713,0.542728541125353,0.424864290146673,0.584828158980199,0.360686165391564
238,"2008",824.733426221139,611.136304105832,310.99132340796,285.123559590741,0,340.078253629211,246.037339505729,0.741010712886961,0.508873914572918,0.466546591448059,0,0
