"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"2000","30768","01","2420","0040","04","High      ","N","Hamilton","Hamilton Hi","Grades PreK-12","1129",575,"50.930000                     ",554,"49.069900                     ",11,"0.974300                      ",29,"2.568600                      ",28,"2.480000                      ",14,"1.240000                      ",1047,"92.736900                     "
"2000","30922","01","2420","0060","04","Elem      ","N","Hamilton","Lannon El","Grades PreK-12","245",118,"48.163200                     ",127,"51.836700                     ",1,"0.408100                      ",4,"1.632600                      ",6,"2.448900                      ",2,"0.816300                      ",232,"94.693800                     "
"2000","30769","01","2420","0100","04","Elem      ","N","Hamilton","Maple Avenue El","Grades PreK-12","468",233,"49.786300                     ",235,"50.213600                     ",2,"0.427300                      ",8,"1.709400                      ",4,"0.854700                      ",6,"1.282000                      ",448,"95.726400                     "
"2000","31726","01","2420","0120","04","Elem      ","N","Hamilton","Marcy El","Grades PreK-12","409",187,"45.721200                     ",222,"54.278700                     ",0,"0.000000                      ",12,"2.933900                      ",13,"3.178400                      ",7,"1.711400                      ",377,"92.176000                     "
"2000","30770","01","2420","0130","04","Mid/Jr Hi ","N","Hamilton","Templeton Mid","Grades PreK-12","810",409,"50.493800                     ",401,"49.506100                     ",3,"0.370300                      ",18,"2.222200                      ",28,"3.456700                      ",10,"1.234500                      ",751,"92.716000                     "
"2000","31727","01","2420","0140","04","Elem      ","N","Hamilton","Willow Springs Learning Center","Grades PreK-12","199",91,"45.728600                     ",108,"54.271300                     ",2,"1.005000                      ",1,"0.502500                      ",2,"1.005000                      ",3,"1.507500                      ",191,"95.979800                     "
"2000","33858","01","2420","0150","04","Elem      ","N","Hamilton","Woodside El","Grades PreK-12","476",236,"49.579800                     ",240,"50.420100                     ",3,"0.630200                      ",8,"1.680600                      ",13,"2.731000                      ",9,"1.890700                      ",443,"93.067200                     "
"2000","33026","01","2450","","03","Elem      ","N","Arrowhead UHS","","Elementary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","33026","01","2450","","03","Mid/Jr Hi ","N","Arrowhead UHS","","Middle/Junior High School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","33026","01","2450","","03","High      ","N","Arrowhead UHS","","High School Type/ PreK-12","1917",913,"47.626400                     ",1004,"52.373500                     ",2,"0.104300                      ",15,"0.782400                      ",2,"0.104300                      ",14,"0.730300                      ",1884,"98.278500                     "
