"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","enrollment_prek-12","number_eligible_for_subsidized_lunch","percent_eligible_for_subsidized_lunch","number_not_eligible_for_subsidized_lunch_or_no_data","percent_not_eligible_for_subsidized_lunch_or_no_data"
"1998","10125","03","1295","","03","El/Sec    ","N","Darlington Community","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1998","10125","03","1295","","03","Summary   ","N","Darlington Community","","Grades PreK-12","All Races","Both Genders",947,,"",,""
"1998","14748","03","1295","0040","04","High      ","N","Darlington Community","Darlington Hi","Grades PreK-12","All Races","Both Genders",350,,"",,""
"1998","17514","03","1295","0160","04","Elem      ","N","Darlington Community","Darlington El/Mid","Grades PreK-12","All Races","Both Genders",597,,"",,""
"1998","10128","03","1428","","03","Elem      ","N","Dodgeville","","Elementary School Type/ Prek-12","All Races","Both Genders",586,,"",,""
"1998","10128","03","1428","","03","Mid/Jr Hi ","N","Dodgeville","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",291,,"",,""
"1998","10128","03","1428","","03","High      ","N","Dodgeville","","High School Type/ PreK-12","All Races","Both Genders",417,,"",,""
"1998","10128","03","1428","","03","El/Sec    ","N","Dodgeville","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1998","10128","03","1428","","03","Summary   ","N","Dodgeville","","Grades PreK-12","All Races","Both Genders",1294,,"",,""
"1998","14723","03","1428","0020","04","Elem      ","N","Dodgeville","Dodgeville El","Grades PreK-12","All Races","Both Genders",379,,"",,""
"1998","14724","03","1428","0040","04","High      ","N","Dodgeville","Dodgeville Hi","Grades PreK-12","All Races","Both Genders",417,,"",,""
"1998","14725","03","1428","0050","04","Mid/Jr Hi ","N","Dodgeville","Dodgeville Mid","Grades PreK-12","All Races","Both Genders",291,,"",,""
"1998","14608","03","1428","0060","04","Elem      ","N","Dodgeville","Ridgeway El","Grades PreK-12","All Races","Both Genders",207,,"",,""
"1998","10170","03","1813","","03","Elem      ","N","Fennimore Community","","Elementary School Type/ Prek-12","All Races","Both Genders",501,,"",,""
"1998","10170","03","1813","","03","Mid/Jr Hi ","N","Fennimore Community","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1998","10170","03","1813","","03","High      ","N","Fennimore Community","","High School Type/ PreK-12","All Races","Both Genders",407,,"",,""
"1998","10170","03","1813","","03","El/Sec    ","N","Fennimore Community","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1998","10170","03","1813","","03","Summary   ","N","Fennimore Community","","Grades PreK-12","All Races","Both Genders",908,,"",,""
"1998","14513","03","1813","0020","04","Elem      ","N","Fennimore Community","Fennimore El","Grades PreK-12","All Races","Both Genders",501,,"",,""
"1998","14514","03","1813","0040","04","High      ","N","Fennimore Community","Fennimore Hi","Grades PreK-12","All Races","Both Genders",407,,"",,""
"1998","10317","03","2016","","03","Elem      ","N","North Crawford","","Elementary School Type/ Prek-12","All Races","Both Genders",322,,"",,""
"1998","10317","03","2016","","03","Mid/Jr Hi ","N","North Crawford","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1998","10317","03","2016","","03","High      ","N","North Crawford","","High School Type/ PreK-12","All Races","Both Genders",394,,"",,""
